crate_name,sherlock_label,rustsec_label,advisory_type
multihash,LOW_SEVERITY,HIGH,Vulnerability
compact_arena,HIGH_SEVERITY,CRITICAL,Vulnerability
os_socketaddr,MEDIUM_SEVERITY,INFO,INFOUnsound
generic-array,LOW_SEVERITY,HIGH,Vulnerability
routing,MEDIUM_SEVERITY,INFO,INFOUnmaintained
shamir,HIGH_SEVERITY,Uncategorized,Vulnerability
cosmos_sdk,SAFE,INFO,INFOUnmaintained
claim,SAFE,INFO,INFOUnmaintained
gix-index,LOW_SEVERITY,HIGH|MEDIUM,Vulnerability
rand_core,SAFE,CRITICAL,INFOUnsound|Vulnerability
parity-wasm,LOW_SEVERITY,INFO,INFOUnmaintained
chrono,LOW_SEVERITY,Uncategorized,Vulnerability
libpulse-binding,LOW_SEVERITY,INFO|MEDIUM|Uncategorized,INFOUnsound|Vulnerability
molecule,LOW_SEVERITY,Uncategorized,Vulnerability
ouroboros,LOW_SEVERITY,INFO,INFOUnsound
compu-brotli-sys,HIGH_SEVERITY,Uncategorized,Vulnerability
nb-connect,LOW_SEVERITY,CRITICAL,INFOUnsound
websocket,LOW_SEVERITY,Uncategorized,Vulnerability
tui,LOW_SEVERITY,INFO,INFOUnmaintained
bitvec,LOW_SEVERITY,CRITICAL,Vulnerability
actix-http,LOW_SEVERITY,HIGH,Vulnerability
safemem,SAFE,INFO,INFOUnmaintained
arrayfire,LOW_SEVERITY,CRITICAL,Vulnerability
aliyun-oss-client,HIGH_SEVERITY,MEDIUM,Vulnerability
security-framework,LOW_SEVERITY,MEDIUM,Vulnerability
webpki,LOW_SEVERITY,HIGH,Vulnerability
gtk-sys,LOW_SEVERITY,INFO,INFOUnmaintained
libp2p-core,UNKNOWN,HIGH|Uncategorized,Vulnerability
gdkwayland-sys,LOW_SEVERITY,INFO,INFOUnmaintained
sodiumoxide,LOW_SEVERITY,CRITICAL|INFO|MEDIUM,INFOUnmaintained|Vulnerability
crossbeam-channel,LOW_SEVERITY,INFO|Uncategorized,INFOUnsound|Vulnerability
