name,rustsec_label,advisory_type
humantime,UNCATEGORIZED,INFOUNMAINTAINED
protobuf,UNCATEGORIZED,VULNERABILITY
ring,UNCATEGORIZED,VULNERABILITY
openh264-sys2,UNCATEGORIZED,VULNERABILITY
ring,UNCATEGORIZED,INFOUNMAINTAINED
hickory-proto,UNCATEGORIZED,VULNERABILITY
grcov,UNCATEGORIZED,VULNERABILITY
openssl,UNCATEGORIZED,VULNERABILITY
fast-float,UNCATEGORIZED,VULNERABILITY
fast-float2,UNCATEGORIZED,VULNERABILITY
rage,UNCATEGORIZED,VULNERABILITY
age,UNCATEGORIZED,VULNERABILITY
magic-crypt,UNCATEGORIZED,VULNERABILITY
idna,UNCATEGORIZED,VULNERABILITY
pyo3,UNCATEGORIZED,VULNERABILITY
rustyscript,UNCATEGORIZED,VULNERABILITY
js-sandbox,UNCATEGORIZED,VULNERABILITY
hashbrown,UNCATEGORIZED,VULNERABILITY
ruzstd,UNCATEGORIZED,VULNERABILITY
rustls,UNCATEGORIZED,VULNERABILITY
sharks,UNCATEGORIZED,VULNERABILITY
paillier-zk,UNCATEGORIZED,VULNERABILITY
cggmp21,UNCATEGORIZED,VULNERABILITY
cggmp21-keygen,UNCATEGORIZED,VULNERABILITY
pyo3,UNCATEGORIZED,VULNERABILITY
dbn,UNCATEGORIZED,VULNERABILITY
tonic,UNCATEGORIZED,VULNERABILITY
ouch,UNCATEGORIZED,VULNERABILITY
olm-sys,UNCATEGORIZED,VULNERABILITY
cosmwasm-vm,UNCATEGORIZED,VULNERABILITY
diesel,UNCATEGORIZED,VULNERABILITY
sqlx,UNCATEGORIZED,VULNERABILITY
alloy-json-abi,UNCATEGORIZED,VULNERABILITY
cosmwasm-vm,UNCATEGORIZED,VULNERABILITY
openssl,UNCATEGORIZED,VULNERABILITY
matrix-sdk-crypto,UNCATEGORIZED,VULNERABILITY
vodozemac,UNCATEGORIZED,VULNERABILITY
zerovec-derive,UNCATEGORIZED,VULNERABILITY
