crate_name,version,time_taken
nanohttp,0.2.1,1.1826212918385863
nanohtml2text,0.2.1,1.1852006250992417
nanoir,0.100.0,1.1863355000969023
nanoid-wasm,0.1.3,1.304594833869487
nanokit,0.2.0,1.2987581249326468
nanoid-dictionary,0.4.3,1.3408856668975204
nanoimage,0.1.3,1.3557691250462085
nanoly,0.1.0,0.9802405829541385
nanopre,0.1.2,0.7177487500011921
nanopub,0.1.4,2.1068620420992374
nanomsg-sys,0.7.2,13.25674720807001
nanomsg,0.7.2,412.88530479185283
pic32-config-sector,0.3.0,0.9386940421536565
nanoid_cli,1.0.0,600.0203747081105
nanoid,0.4.0,600.0522583341226
nanoleaf,0.1.1,600.048361208057
nanom-derive,0.1.2,600.022001208039
nanom,0.1.6,600.0430587499868
nanopass,0.1.8,600.0402049999684
nanopow-rs,0.3.3,600.0226590000093
pic32mx470,0.1.0,1.8889915840700269
pic32mx2xx,0.7.0,1.9158112909644842
pic8259_x86,0.1.0,0.7820406251121312
pic8259_simple,0.2.0,1.8073286251164973
pic2lcd,0.1.0,600.0503287089523
pic32mx567,0.1.0,5.0084316660650074
picahq,0.1.1,3.874538250034675
pic2txt,1.0.0,600.0527747091837
pic32-hal,0.13.0,600.0455360829365
crate-pro,0.1.0,1.5726992501877248
crate-publish-test,0.1.1,0.7558325829450041
crate-publish-test-foo,0.1.0,0.8476164168678224
crate-published,0.1.0,0.7425567919854075
pic8259,0.11.0,600.051713957917
pica,0.1.7,600.0214314581826
pican,0.1.0,600.0239537500311
picard,0.0.1,600.0427532920148
crate-root,0.1.3,1.260356874903664
crate-sample-pdaj,0.1.0,0.8242785839829594
picard-core,0.0.1,600.0563595420681
crate-template,0.0.1,0.77294583292678
crate-test-20220118,0.2.0,0.7194460830651224
crate-test-bolt,0.1.0,0.7243358339183033
crate-redeem-in-kind,0.6.0,3.0820757909677923
crate-test-xxx,0.1.13,0.7232197078410536
picasso-core,0.1.0,600.0434634578414
picat,0.1.0,600.0495168331545
crate-version-experiment,0.3.5,0.721944416873157
piccolo,0.3.3,600.0219452090096
crate-version,0.1.0,1.9922908749431372
crate-token,0.6.0,2.3718835418112576
crate2bib,0.3.2,1.7828381250146776
lmdb-sys,0.8.0,6.905862082960084
lmdb-sys2,0.11.2,6.904608083190396
lmfu,1.3.1,0.6705708340741694
lminc,2.0.1,0.7143978751264513
piccolo-util,0.3.3,600.0192255841102
lml,0.1.0,0.7277160410303622
crate-race,1.1.2,600.0320302918553
crate-settings,0.0.7,600.028947917046
crate-starter,1.1.0,600.042309124954
lmntal-language-server,0.1.1,1.6943127501290292
crate-web,0.1.1,600.043787333183
lmdb-rs,0.7.6,600.0805143748876
lmdb-rs-m,0.7.8,600.0567714169156
lmdb-zero,0.4.4,600.0670804160181
lmgpt,0.1.5,600.0321810410824
lmk,0.2.0,600.0454097089823
lmml,0.6.0,600.0121934998315
photon_decode,0.2.1,1.8841687079984695
photon-indexer,0.50.0,7.3871718749869615
lmml-cli,0.6.0,600.0125031669158
lmml-parser,0.6.0,600.013475334039
lmntalc,0.12.0,600.0152466660365
lmql,0.3.0,600.0240422082134
lms,0.4.0,600.0379024168942
lms-signature,0.0.1,600.0835728340317
lms_lib,0.4.0,600.0233044170309
photonic-dynamic-runner,0.1.0,1.7832542909309268
photon-rs,0.3.2,600.0166480420157
photon_garden_obsidian,0.1.0,600.031107166782
photonic-interface-grpc-client,0.1.0,1.5763561250641942
photondb,0.0.4,600.0273736251984
photondb-engine,0.0.1,600.0179804589134
photondb-tools,0.0.4,600.0308615420945
photonic,0.1.0,600.0240418331232
photonic-audio,0.1.0,600.015392540954
photonic-dynamic,0.1.0,600.021497500129
photonic-effects,0.1.0,600.0332413748838
photonic-interface-cli,0.1.0,600.0162403329741
yew-style-in-rs-core,0.4.1,0.64202587492764
photonic-interface-grpc,0.1.0,600.0292367090005
photonic-interface-grpc-proto,0.1.0,600.0352341248654
photonic-interface-mqtt,0.1.0,600.0223913749214
photonic-interface-restore,0.1.0,600.028124500066
photonic-lua,0.1.0,600.0168895418756
yew-struct-component,0.1.4,600.0156627921388
yew-struct-component-macro,0.1.4,600.0627939158585
yew-style,0.1.4,600.0273186250124
yew-style-in-rs,0.4.1,600.0183770000003
yew-style-in-rs-macro,0.4.1,600.0272747080307
yew-table,0.1.2,600.0187448749784
yew-template,0.10.0,600.0180766249541
yew-tincture,0.2.2,600.0192545421887
yew-transition-group,0.0.1,600.0133680829313
yew-ui,0.1.0,600.0222028328571
yew-utils,0.3.0,600.027283790987
yew-vdom-gen,0.1.0,600.019170582993
yew-virtual-scroller,0.1.0,600.014347541146
xrpl_cli,0.16.7,1.9238033341243863
xrpl_http_client,0.16.7,1.6650149589404464
yew-virtualized,0.2.0,600.0117490000557
xrpl_sdk_jsonrpc,0.12.0,1.7293020419310778
yew-websocket,1.21.0,600.0339745839592
xrt,0.3.0,0.6809322079643607
xrtsp,0.3.0,1.7029604581184685
xrun,0.12.0,1.7939326670020819
xrunits,0.1.2,0.6987652499228716
yew-webtransport,0.21.1,600.0181042919867
xs,0.0.0,0.6424552910029888
xs-api,0.1.0,0.6875999998301268
yew_assets,0.1.2,600.0260784581769
xs-channel,0.3.7,2.8907746670302004
yew_audio,0.1.2,600.0118209999055
xs233-sys,0.2.0,0.6274175001308322
xrpl_api,0.16.7,600.0392462078016
upstream-module,0.2.0,2.2041973751038313
upstream-ontologist,0.2.2,2.1387318749912083
upsun,0.1.0,0.6458415410015732
xrpl_binary_codec,0.16.7,600.0493536670692
xrpl_sdk_ws,0.12.0,600.0509907500818
xrpl_types,0.16.7,600.0248378750402
xrpl_ws_client,0.16.7,600.0442347908393
xrs,0.0.1,600.0675328748766
uptic,0.1.0,0.6805721658747643
uptime_kuma_client,0.1.10,1.8126777920406312
xrust,1.2.4,600.0504985000007
xs-lib,0.4.0,600.0321650840342
xs233,0.3.0,600.0187257498037
upto,0.1.5,0.7530262919608504
uption,0.6.6,1.8534537500236183
upstream,0.1.0,600.0419199999887
upt,0.9.0,600.0353922909126
uptu_libs,0.1.0,0.8566930829547346
sc-service-test,0.0.0,0.6203575830440968
sc-simnode,16.0.0,5.606858333107084
sc-state-db,0.37.0,1.7598561248742044
sc-statement-store,20.0.0,3.175940499873832
sc-storage-monitor,0.23.0,1.9302866249345243
sc-sync-state-rpc,0.48.0,5.007877124939114
sc-sysinfo,41.0.0,4.547149332938716
sc-tracing,38.0.0,3.4280796670354903
uptest,0.1.4,600.0236969590187
sc-transaction-graph,3.0.0,3.016605250071734
uptest-cli,0.1.4,600.0212942080107
