crate_name,version,time_taken
nanohttp,0.2.1,1.1826212918385863
nanohtml2text,0.2.1,1.1852006250992415
nanoir,0.100.0,1.1863355000969025
nanoid-wasm,0.1.3,1.304594833869487
nanokit,0.2.0,1.2987581249326468
nanoid-dictionary,0.4.3,1.3408856668975204
nanoimage,0.1.3,1.3557691250462085
nanoly,0.1.0,0.9802405829541384
nanopre,0.1.2,0.7177487500011921
nanopub,0.1.4,2.1068620420992374
nanomsg-sys,0.7.2,13.25674720807001
nanomsg,0.7.2,412.8853047918528
pic32-config-sector,0.3.0,0.9386940421536564
nanoid_cli,1.0.0,timeout
nanoid,0.4.0,timeout
nanoleaf,0.1.1,timeout
nanom-derive,0.1.2,timeout
nanom,0.1.6,timeout
nanopass,0.1.8,timeout
nanopow-rs,0.3.3,timeout
pic32mx470,0.1.0,1.8889915840700269
pic32mx2xx,0.7.0,1.915811290964484
pic8259_x86,0.1.0,0.7820406251121312
pic8259_simple,0.2.0,1.8073286251164973
pic2lcd,0.1.0,timeout
pic32mx567,0.1.0,5.0084316660650074
picahq,0.1.1,3.874538250034675
pic2txt,1.0.0,timeout
pic32-hal,0.13.0,timeout
crate-pro,0.1.0,1.5726992501877248
crate-publish-test,0.1.1,0.7558325829450041
crate-publish-test-foo,0.1.0,0.8476164168678224
crate-published,0.1.0,0.7425567919854075
pic8259,0.11.0,timeout
pica,0.1.7,timeout
pican,0.1.0,timeout
picard,0.0.1,timeout
crate-root,0.1.3,1.260356874903664
crate-sample-pdaj,0.1.0,0.8242785839829594
picard-core,0.0.1,timeout
crate-template,0.0.1,0.77294583292678
crate-test-20220118,0.2.0,0.7194460830651224
crate-test-bolt,0.1.0,0.7243358339183033
crate-redeem-in-kind,0.6.0,3.0820757909677923
crate-test-xxx,0.1.13,0.7232197078410536
picasso-core,0.1.0,timeout
picat,0.1.0,timeout
crate-version-experiment,0.3.5,0.721944416873157
piccolo,0.3.3,timeout
crate-version,0.1.0,1.9922908749431372
crate-token,0.6.0,2.3718835418112576
crate2bib,0.3.2,1.7828381250146776
lmdb-sys,0.8.0,6.905862082960084
lmdb-sys2,0.11.2,6.904608083190396
lmfu,1.3.1,0.6705708340741694
lminc,2.0.1,0.7143978751264513
piccolo-util,0.3.3,timeout
lml,0.1.0,0.7277160410303622
crate-race,1.1.2,timeout
crate-settings,0.0.7,timeout
crate-starter,1.1.0,timeout
lmntal-language-server,0.1.1,1.6943127501290292
crate-web,0.1.1,timeout
lmdb-rs,0.7.6,timeout
lmdb-rs-m,0.7.8,timeout
lmdb-zero,0.4.4,timeout
lmgpt,0.1.5,timeout
lmk,0.2.0,timeout
lmml,0.6.0,timeout
photon_decode,0.2.1,1.8841687079984697
photon-indexer,0.50.0,7.3871718749869615
lmml-cli,0.6.0,timeout
lmml-parser,0.6.0,timeout
lmntalc,0.12.0,timeout
lmql,0.3.0,timeout
lms,0.4.0,timeout
lms-signature,0.0.1,timeout
lms_lib,0.4.0,timeout
photonic-dynamic-runner,0.1.0,1.7832542909309268
photon-rs,0.3.2,timeout
photon_garden_obsidian,0.1.0,timeout
photonic-interface-grpc-client,0.1.0,1.5763561250641942
photondb,0.0.4,timeout
photondb-engine,0.0.1,timeout
photondb-tools,0.0.4,timeout
photonic,0.1.0,timeout
photonic-audio,0.1.0,timeout
photonic-dynamic,0.1.0,timeout
photonic-effects,0.1.0,timeout
photonic-interface-cli,0.1.0,timeout
yew-style-in-rs-core,0.4.1,0.64202587492764
photonic-interface-grpc,0.1.0,timeout
photonic-interface-grpc-proto,0.1.0,timeout
photonic-interface-mqtt,0.1.0,timeout
photonic-interface-restore,0.1.0,timeout
photonic-lua,0.1.0,timeout
yew-struct-component,0.1.4,timeout
yew-struct-component-macro,0.1.4,timeout
yew-style,0.1.4,timeout
yew-style-in-rs,0.4.1,timeout
yew-style-in-rs-macro,0.4.1,timeout
yew-table,0.1.2,timeout
yew-template,0.10.0,timeout
yew-tincture,0.2.2,timeout
yew-transition-group,0.0.1,timeout
yew-ui,0.1.0,timeout
yew-utils,0.3.0,timeout
yew-vdom-gen,0.1.0,timeout
yew-virtual-scroller,0.1.0,timeout
xrpl_cli,0.16.7,1.9238033341243863
xrpl_http_client,0.16.7,1.6650149589404464
yew-virtualized,0.2.0,timeout
xrpl_sdk_jsonrpc,0.12.0,1.7293020419310778
yew-websocket,1.21.0,timeout
xrt,0.3.0,0.6809322079643607
xrtsp,0.3.0,1.7029604581184683
xrun,0.12.0,1.793932667002082
xrunits,0.1.2,0.6987652499228716
yew-webtransport,0.21.1,timeout
xs,0.0.0,0.6424552910029888
xs-api,0.1.0,0.6875999998301268
yew_assets,0.1.2,timeout
xs-channel,0.3.7,2.8907746670302004
yew_audio,0.1.2,timeout
xs233-sys,0.2.0,0.6274175001308322
xrpl_api,0.16.7,timeout
upstream-module,0.2.0,2.2041973751038313
upstream-ontologist,0.2.2,2.1387318749912083
upsun,0.1.0,0.6458415410015732
xrpl_binary_codec,0.16.7,timeout
xrpl_sdk_ws,0.12.0,timeout
xrpl_types,0.16.7,timeout
xrpl_ws_client,0.16.7,timeout
xrs,0.0.1,timeout
uptic,0.1.0,0.6805721658747643
uptime_kuma_client,0.1.10,1.8126777920406312
xrust,1.2.4,timeout
xs-lib,0.4.0,timeout
xs233,0.3.0,timeout
upto,0.1.5,0.7530262919608504
uption,0.6.6,1.8534537500236183
upstream,0.1.0,timeout
upt,0.9.0,timeout
uptu_libs,0.1.0,0.8566930829547346
sc-service-test,0.0.0,0.6203575830440968
sc-simnode,16.0.0,5.606858333107084
sc-state-db,0.37.0,1.7598561248742044
sc-statement-store,20.0.0,3.175940499873832
sc-storage-monitor,0.23.0,1.9302866249345243
sc-sync-state-rpc,0.48.0,5.007877124939114
sc-sysinfo,41.0.0,4.547149332938716
sc-tracing,38.0.0,3.4280796670354903
uptest,0.1.4,timeout
sc-transaction-graph,3.0.0,3.016605250071734
uptest-cli,0.1.4,timeout
uptime,0.0.1,timeout
uptime_kuma_pusher,0.3.0,timeout
sc-transaction-pool,38.1.0,3.341819082852453
sc-utils,18.0.0,1.65738904196769
uptime_lib,0.3.1,timeout
sc-transaction-pool-api,38.1.0,2.6781052919104695
sc16is752,0.1.1,1.6190179160330445
sc2-proxy,0.1.0,1.6735333749093115
uptimer,0.2.1,timeout
uptown_funk,0.1.3,timeout
