Crate Name,Severity Label,On lib.rs
uci-0.2.3,HIGH_SEVERITY,Yes
arelith_combat_simulator-1.5.1,MEDIUM_SEVERITY,Yes
deanonro-0.1.0,CRITICAL,Yes
drt-price-aggregator-sc-0.0.3,HIGH_SEVERITY,Yes
irmaseal-curve-0.1.5,MEDIUM_SEVERITY,Yes
emsdk-0.1.1,HIGH_SEVERITY,Yes
disasm6502-0.2.2,HIGH_SEVERITY,Yes
bevy_lightspeed4d-0.1.0,SAFE,Yes
rsdate-0.5.0,HIGH_SEVERITY,Yes
agave-noop-0.1.0,SAFE,Yes
eonil_apple_oslog-0.1.2,CRITICAL,Yes
iro-cli-0.2.1,CRITICAL,Yes
bevy_koto-0.2.0,CRITICAL,Yes
naoki_test_publish-0.2.4,SAFE,Yes
geoip-sys-0.0.14,HIGH_SEVERITY,Yes
aws-sdk-bcmdataexports-1.60.0,LOW_SEVERITY,Yes
indexmenow-0.1.4,HIGH_SEVERITY,Yes
xs233-0.3.0,CRITICAL,Yes
pkg-version-1.0.0,MEDIUM_SEVERITY,Yes
moonramp-core-0.1.22,SAFE,Yes
solana-test-utils-0.1.19,CRITICAL,Yes
daleks-0.6.0,CRITICAL,Yes
flexible-io-0.4.0,HIGH_SEVERITY,Yes
photonic-interface-cli-0.1.0,CRITICAL,Yes
crate-web-0.1.1,CRITICAL,Yes
uptest-0.1.4,CRITICAL,Yes
aws-sdk-autoscalingplans-1.62.0,LOW_SEVERITY,Yes
photon-rs-0.3.2,LOW_SEVERITY,Yes
rargsxd-0.2.6,HIGH_SEVERITY,Yes
disc-bot-0.1.0,HIGH_SEVERITY,Yes
solana-time-utils-2.2.1,SAFE,Yes
xrpl_cli-0.16.7,HIGH_SEVERITY,Yes
rscript-0.17.0,MEDIUM_SEVERITY,Yes
wayrs-proto-parser-3.0.1,LOW_SEVERITY,Yes
sc-transaction-pool-38.1.0,LOW_SEVERITY,Yes
picasso-core-0.1.0,HIGH_SEVERITY,Yes
nanohttp-0.2.1,SAFE,Yes
rscripter-0.1.1,CRITICAL,Yes
mdbook-trace-0.1.1,UNKNOWN,Yes
picard-core-0.0.1,CRITICAL,Yes
bellare-micali-0.1.2,HIGH_SEVERITY,Yes
nuclear-router-0.1.0,CRITICAL,Yes
solana-system-program-2.2.3,LOW_SEVERITY,Yes
emu6502-0.1.1,CRITICAL,Yes
lmdb-rs-m-0.7.8,HIGH_SEVERITY,Yes
mdbook-tools-0.1.1,CRITICAL,Yes
plotsweep-0.1.0,CRITICAL,Yes
bellos-0.0.4,CRITICAL,Yes
moonramp-lunar-core-0.1.22,HIGH_SEVERITY,Yes
bevy_kwai_interactive_live-0.1.2,CRITICAL,Yes
air-interpreter-wasm_new_it_types-0.0.3,SAFE,No
rust_cascade-1.5.0,SAFE,Yes
uchardet-sys-2.0.3,MEDIUM_SEVERITY,Yes
flexible-hyper-server-tls-0.6.0,HIGH_SEVERITY,Yes
pkg-utils-0.1.0,UNKNOWN,Yes
neo4j_testcontainers-0.3.0,CRITICAL,Yes
crude-profiler-0.1.7,SAFE,Yes
miio-proto-0.1.5,CRITICAL,Yes
napi-h-2.16.1,LOW_SEVERITY,Yes
iapi-0.1.0,HIGH_SEVERITY,Yes
deary-0.0.1,CRITICAL,Yes
eoflint-0.2.0,CRITICAL,Yes
gweiyser-0.1.4,HIGH_SEVERITY,Yes
uptu_libs-0.1.0,SAFE,Yes
india-0.0.0,SAFE,Yes
bellhop-auth-header-0.2.1,UNKNOWN,Yes
cruiser-0.2.0,CRITICAL,Yes
diskinfo-0.1.0,SAFE,Yes
rarc-0.1.0,CRITICAL,Yes
plotly_kaleido-0.12.1,LOW_SEVERITY,Yes
geoiplocation-0.3.0,CRITICAL,Yes
arduino_mkrzero-0.12.2,MEDIUM_SEVERITY,Yes
drt-sc-modules-0.0.3,CRITICAL,Yes
crudkit-0.0.0,SAFE,Yes
xrpl_types-0.16.7,MEDIUM_SEVERITY,Yes
emu-cli-0.4.3,CRITICAL,Yes
