************************************
event,timestamp,label
RustSec,-,Safe
************************************
event,timestamp,organization,type,criteria,delta,version,notes
************************************
event,timestamp,name,username,url
Author,-,Pietro Lorefice,plorefice,https://github.com/plorefice
************************************
event,timestamp,downloads
Downloads,-,7343
************************************
event,timestamp,total,flagged
Side Effects,-,0,0
************************************
Rudra,timestamp
"2024-06-23 15:40:48.154211 |INFO | [rudra-progress] Running cargo rudra
2024-06-23 15:40:55.520600 |INFO | [rudra-progress] Running rudra for target lib:dht11
2024-06-23 15:41:02.288004 |INFO | [rudra-progress] Rudra started
2024-06-23 15:41:02.291778 |INFO | [rudra-progress] SendSyncVariance analysis started
2024-06-23 15:41:02.292124 |INFO | [rudra-progress] SendSyncVariance analysis finished
2024-06-23 15:41:02.292135 |INFO | [rudra-progress] UnsafeDataflow analysis started
2024-06-23 15:41:02.310539 |INFO | [rudra-progress] UnsafeDataflow analysis finished
2024-06-23 15:41:02.310567 |INFO | [rudra-progress] Rudra finished
2024-06-23 15:41:03.161337 |WARN | [cargo_rudra] Target example:stm32f407 is not supported
2024-06-23 15:41:03.161377 |WARN | [cargo_rudra] Target example:stm32f407-dwt is not supported
2024-06-23 15:41:03.161473 |INFO | [rudra-progress] cargo rudra finished
"
************************************
