************************************
event,timestamp,label
RustSec,-,Safe
************************************
event,timestamp,organization,type,criteria,delta,version,notes
************************************
event,timestamp,name,username,url
Author,-,Thayne McCombs,tmccombs,https://github.com/tmccombs
************************************
event,timestamp,downloads
Downloads,-,118038
************************************
event,timestamp,total,flagged
Side Effects,-,0,0
************************************
Rudra,timestamp
"2024-06-23 13:53:38.461560 |INFO | [rudra-progress] Running cargo rudra
2024-06-23 13:53:48.476956 |INFO | [rudra-progress] Running rudra for target lib:graceful-shutdown
2024-06-23 13:54:02.703082 |INFO | [rudra-progress] Rudra started
2024-06-23 13:54:02.711980 |INFO | [rudra-progress] SendSyncVariance analysis started
2024-06-23 13:54:02.712741 |INFO | [rudra-progress] SendSyncVariance analysis finished
2024-06-23 13:54:02.712784 |INFO | [rudra-progress] UnsafeDataflow analysis started
2024-06-23 13:54:02.856862 |INFO | [rudra-progress] UnsafeDataflow analysis finished
2024-06-23 13:54:02.856990 |INFO | [rudra-progress] Rudra finished
2024-06-23 13:54:06.002963 |WARN | [cargo_rudra] Target example:echo1 is not supported
2024-06-23 13:54:06.003199 |WARN | [cargo_rudra] Target example:echo_stream is not supported
2024-06-23 13:54:06.003222 |WARN | [cargo_rudra] Target example:smol_echo is not supported
2024-06-23 13:54:06.003239 |WARN | [cargo_rudra] Target test:it is not supported
2024-06-23 13:54:06.003471 |INFO | [rudra-progress] cargo rudra finished
"
************************************
