************************************
event,timestamp,label
RustSec,-,Critical
************************************
event,timestamp,organization,type,criteria,delta,version,notes
audits,-,Critical,bytecode-alliance,safe-to-deploy,,0.21.0,"This crate has no dependencies, no build.rs, and contains no unsafe code.",
audits,-,Critical,bytecode-alliance,safe-to-run,,0.21.0,"This crate has no dependencies, no build.rs, and contains no unsafe code.",
audits,-,Critical,google,safe-to-run,,0.13.0,,
audits,-,Critical,google,"[ ""safe-to-run"", ""does-not-implement-crypto"",]",,0.13.1,,
audits,-,Critical,google,"[ ""ub-risk-0"", ""safe-to-deploy"", ""does-not-implement-crypto"",]",,0.13.1,"Skimmed the uses of `std` to ensure that nothing untoward is happening. Code uses `forbid(unsafe_code)` and, indeed, there are no uses of `unsafe`",
audits,-,Critical,isrg,safe-to-deploy,0.20.0 -> 0.21.0,,,
audits,-,Critical,isrg,safe-to-deploy,0.21.0 -> 0.21.1,,,
audits,-,Critical,isrg,safe-to-deploy,0.21.1 -> 0.21.2,,,
audits,-,Critical,isrg,safe-to-deploy,0.21.2 -> 0.21.3,,,
audits,-,Critical,isrg,safe-to-run,0.21.3 -> 0.21.4,,,
audits,-,Critical,isrg,safe-to-run,0.21.4 -> 0.21.5,,,
audits,-,Critical,isrg,safe-to-run,0.21.5 -> 0.21.6,,sourcegraph-based diff did not see the v0.21.6 tag; I retrieved a local copy of the repo and used that for diff'ing.,
audits,-,Critical,isrg,safe-to-run,0.21.6 -> 0.21.7,,,
audits,-,Critical,isrg,safe-to-run,0.21.7 -> 0.22.0,,,
audits,-,Critical,isrg,safe-to-run,0.22.0 -> 0.22.1,,,
audits,-,Critical,mozilla,safe-to-deploy,0.13.0 -> 0.13.1,,,
audits,-,Critical,zcash,safe-to-deploy,0.21.3 -> 0.21.4,,,
audits,-,Critical,zcash,safe-to-deploy,0.21.4 -> 0.21.5,,,
audits,-,Critical,zcash,safe-to-deploy,0.21.5 -> 0.21.7,,,
************************************
event,timestamp,name,username,url
Author,-,Alice Maz,alicemaz,https://github.com/alicemaz
Author,-,Marshall Pierce,marshallpierce,https://github.com/marshallpierce
************************************
event,timestamp,downloads
Downloads,-,312349806
************************************
event,timestamp,total,flagged
Side Effects,-,19,19
************************************
Rudra,timestamp
"2024-06-21 16:42:52.036457 |INFO | [rudra-progress] Running cargo rudra
2024-06-21 16:43:01.043702 |INFO | [rudra-progress] Running rudra for target lib:base64
[0m[0m[1m[31merror[0m[1m:[0m package `byteorder v1.5.0` cannot be built because it requires rustc 1.60 or newer, while the currently active rustc version is 1.58.0-nightly
2024-06-21 16:43:10.119628 |ERROR| [rudra-progress] Finished with non-zero exit code
"
************************************
