crate-version,time_seconds,return_code
nanokit-0.2.0,1.14,0
nanoid-dictionary-0.4.3,1.16,0
nanohtml2text-0.2.1,1.17,0
nanohttp-0.2.1,1.17,0
nanoimage-0.1.3,1.18,0
nanoid-wasm-0.1.3,1.19,0
nanoir-0.100.0,1.18,0
nanoly-0.1.0,0.86,0
nanoid-0.4.0,2.02,0
nanomsg-sys-0.7.2,0.91,0
nanomsg-0.7.2,0.98,0
nanom-derive-0.1.2,1.52,0
nanopre-0.1.2,0.83,0
pic32-config-sector-0.3.0,0.77,0
nanoid_cli-1.0.0,3.99,0
pic32mx2xx-0.7.0,0.78,0
pic32mx470-0.1.0,0.72,0
pic32mx567-0.1.0,0.84,0
pic32-hal-0.13.0,2.46,0
nanopass-0.1.8,4.36,0
pic8259-0.11.0,1.05,0
pic8259_simple-0.2.0,0.79,0
pic8259_x86-0.1.0,0.89,0
nanom-0.1.6,5.17,0
pic2lcd-0.1.0,4.51,0
picam-0.0.0,0.78,1
nanopow-rs-0.3.3,5.60,0
picard-0.0.1,1.71,0
picard-core-0.0.1,1.43,0
picat-0.1.0,1.67,0
pic2txt-1.0.0,7.03,0
crate-pro-0.1.0,0.78,0
crate-publish-test-0.1.1,0.73,0
crate-publish-test-foo-0.1.0,0.73,0
crate-published-0.1.0,0.80,0
piccolo-0.3.3,5.82,0
crate-root-0.1.3,0.80,0
piccolo-util-0.3.3,6.82,0
crate-sample-pdaj-0.1.0,0.77,0
crate-starter-1.1.0,2.15,0
picasso-core-0.1.0,11.64,0
crate-template-0.0.1,0.73,0
crate-test-bolt-0.1.0,0.71,0
crate-test-20220118-0.2.0,0.78,0
crate-test-xxx-0.1.13,0.77,0
crate-settings-0.0.7,6.82,0
crate-version-experiment-0.3.5,0.73,0
crate-web-0.1.1,2.21,0
pica-0.1.7,23.27,0
lmdb-rs-0.7.6,1.05,0
lmdb-rs-m-0.7.8,0.99,0
lmdb-sys-0.8.0,0.89,0
lmdb-sys2-0.11.2,0.79,0
lmdb-zero-0.4.4,0.93,0
pican-0.1.0,27.78,0
lmfu-1.3.1,1.00,0
lminc-2.0.1,0.80,0
lmgpt-0.1.5,10.32,0
lmk-0.2.0,9.76,0
lml-0.1.0,0.80,0
crate-race-1.1.2,96.63,0
lmml-0.6.0,63.69,0
lmnkjgkj-std-backtrace-anyhow-0.0.0,0.71,1
nanoleaf-0.1.1,124.77,0
lmntalc-0.12.0,7.13,0
lmml-cli-0.6.0,91.54,0
lms-0.4.0,33.13,0
lms-signature-0.0.1,5.06,0
lmql-0.3.0,44.11,0
photon-http-0.0.0,0.72,1
lms_lib-0.4.0,6.15,0
lmml-parser-0.6.0,77.48,0
photon_decode-0.2.1,0.73,0
photon_garden_obsidian-0.1.0,4.18,0
crate2bib-0.3.2,173.63,0
photondb-engine-0.0.1,3.57,0
crate-version-0.1.0,188.76,0
photon-rs-0.3.2,47.68,0
photondb-0.0.4,41.98,0
photonic-0.1.0,24.88,0
photonic-dynamic-0.1.0,37.91,0
photondb-tools-0.0.4,74.96,0
nanopub-0.1.4,275.69,0
photonic-effects-0.1.0,32.53,0
photonic-interface-cli-0.1.0,29.11,0
photonic-interface-grpc-proto-0.1.0,26.58,0
photonic-interface-grpc-0.1.0,60.13,0
lmntal-language-server-0.1.1,238.89,0
photonic-audio-0.1.0,122.81,0
photonic-interface-restore-0.1.0,33.22,0
yew-struct-component-macro-0.1.4,1.02,0
photonic-interface-mqtt-0.1.0,40.96,0
photonic-lua-0.1.0,47.34,0
yew-style-in-rs-core-0.4.1,0.81,0
yew-style-in-rs-macro-0.4.1,4.58,0
yew-struct-component-0.1.4,75.41,0
yew-style-0.1.4,75.11,0
yew-template-0.10.0,20.82,0
photonic-interface-grpc-client-0.1.0,158.94,0
yew-style-in-rs-0.4.1,98.46,0
yew-unocss-transformer-0.0.0,0.73,1
yew-table-0.1.2,79.98,0
photonic-dynamic-runner-0.1.0,284.12,0
yew-tincture-0.2.2,75.85,0
yew-transition-group-0.0.1,79.38,0
yew-ui-0.1.0,73.86,0
yew-utils-0.3.0,75.46,0
yew-vdom-gen-0.1.0,76.83,0
yew-virtual-scroller-0.1.0,84.60,0
yew-virtualized-0.2.0,79.91,0
picahq-0.1.1,600.02,
xrpl_api-0.16.7,4.11,0
crate-redeem-in-kind-0.6.0,600.01,
crate-token-0.6.0,600.03,
xrpl_binary_codec-0.16.7,17.83,0
yew_assets-0.1.2,74.85,0
yew-webtransport-0.21.1,89.64,0
xrpl_types-0.16.7,3.39,0
xrt-0.3.0,0.73,0
xrs-0.0.1,1.50,0
yew-websocket-1.21.0,101.60,0
xrunits-0.1.2,0.79,0
xrust-1.2.4,25.80,0
xs-0.0.0,0.66,1
xs-api-0.1.0,0.73,0
yew_audio-0.1.2,105.98,0
xs-lib-0.4.0,6.25,0
xs233-0.3.0,2.87,0
xs233-sys-0.2.0,0.72,0
xrpl_sdk_ws-0.12.0,78.57,0
xrpl_ws_client-0.16.7,76.54,0
upstream-0.1.0,44.68,0
upsun-0.1.0,0.69,0
upt-0.9.0,5.33,0
upt-please-0.0.0,0.71,1
photon-indexer-0.50.0,600.01,
uptest-0.1.4,53.50,0
uptic-0.1.0,0.74,0
uptime-0.0.1,1.10,0
xrpl_http_client-0.16.7,197.19,0
xrpl_sdk_jsonrpc-0.12.0,195.37,0
uptime_lib-0.3.1,4.84,0
uptimer-0.2.1,3.57,0
uptime_kuma_pusher-0.3.0,20.88,0
upto-0.1.5,0.77,0
uptown_funk-0.1.3,1.18,0
uptown_funk_macro-0.1.2,1.00,0
uptest-cli-0.1.4,53.00,0
uptu_libs-0.1.0,0.72,0
sc-service-test-0.0.0,0.78,0
xrun-0.12.0,211.53,0
xrtsp-0.3.0,253.40,0
xrpl_cli-0.16.7,282.60,0
uptrace-0.19.0,132.69,0
uption-0.6.6,248.90,0
sc-state-db-0.37.0,227.54,0
uptime_kuma_client-0.1.10,299.86,0
sc-tracing-proc-macro-11.0.0,2.09,0
sc-storage-monitor-0.23.0,275.67,0
upstream-ontologist-0.2.2,467.28,0
upstream-module-0.2.0,484.49,0
xs-channel-0.3.7,600.01,
sc16is752-0.1.1,0.79,0
sc2-macro-1.0.0,1.59,0
sc2-proc-macro-1.0.0,1.30,0
sc2-proto-0.2.3,2.09,0
sc-utils-18.0.0,198.15,0
bellande_rust_import-0.0.1,0.94,0
sc2-proxy-0.1.0,148.99,0
bellandeos_file_system_test-0.0.1,9.68,0
sc-simnode-16.0.0,600.01,
bellare-micali-0.1.2,12.35,0
bellemere-0.1.0,0.77,0
bellframe-0.13.2,2.35,0
sc-statement-store-20.0.0,600.01,
bellboy-0.2.0,89.48,0
