crate-version,time_seconds,return_code
nanokit-0.2.0,1.75,0
nanoid-wasm-0.1.3,1.76,0
nanohtml2text-0.2.1,1.79,0
nanoid-dictionary-0.4.3,1.80,0
nanoir-0.100.0,1.81,0
nanohttp-0.2.1,1.85,0
nanoimage-0.1.3,1.86,0
nanoly-0.1.0,1.18,0
nanopre-0.1.2,1.19,0
nanopub-0.1.4,2.07,1
nanomsg-sys-0.7.2,11.67,0
nanomsg-0.7.2,315.26,0
pic32-config-sector-0.3.0,1.40,0
nanoid_cli-1.0.0,600.07,
nanoleaf-0.1.1,600.07,
nanoid-0.4.0,600.11,
nanom-0.1.6,600.06,
nanom-derive-0.1.2,600.08,
nanopass-0.1.8,600.09,
nanopow-rs-0.3.3,600.07,
pic32mx470-0.1.0,1.90,0
pic32mx2xx-0.7.0,1.92,0
picam-0.0.0,0.98,1
pic8259_x86-0.1.0,1.16,0
pic8259_simple-0.2.0,1.68,0
pic32mx567-0.1.0,3.89,0
picahq-0.1.1,2.83,1
pic2lcd-0.1.0,600.06,
pic2txt-1.0.0,600.04,
pic32-hal-0.13.0,600.07,
crate-pro-0.1.0,1.61,0
crate-publish-test-0.1.1,1.14,0
crate-publish-test-foo-0.1.0,1.15,0
crate-published-0.1.0,1.36,0
pic8259-0.11.0,600.07,
pica-0.1.7,600.03,
pican-0.1.0,600.04,
picard-0.0.1,600.06,
crate-root-0.1.3,1.27,0
picard-core-0.0.1,600.07,
picasso-core-0.1.0,600.04,
crate-sample-pdaj-0.1.0,1.26,0
crate-redeem-in-kind-0.6.0,2.60,1
crate-template-0.0.1,1.19,0
picat-0.1.0,600.07,
crate-test-20220118-0.2.0,1.21,0
crate-test-bolt-0.1.0,1.14,0
crate-test-xxx-0.1.13,1.16,0
piccolo-0.3.3,600.06,
crate-version-experiment-0.3.5,1.16,0
crate-version-0.1.0,1.85,1
crate-token-0.6.0,2.13,1
crate2bib-0.3.2,1.77,1
lmdb-sys-0.8.0,6.02,0
lmdb-sys2-0.11.2,6.01,0
piccolo-util-0.3.3,600.05,
lmfu-1.3.1,1.09,0
lminc-2.0.1,1.10,0
lml-0.1.0,1.10,0
crate-race-1.1.2,600.07,
crate-settings-0.0.7,600.08,
crate-starter-1.1.0,600.08,
lmnkjgkj-std-backtrace-anyhow-0.0.0,1.37,1
crate-web-0.1.1,600.06,
lmdb-rs-0.7.6,600.05,
lmdb-rs-m-0.7.8,600.09,
lmntal-language-server-0.1.1,2.44,1
lmdb-zero-0.4.4,600.16,
lmgpt-0.1.5,600.10,
lmk-0.2.0,600.08,
photon-http-0.0.0,1.12,1
lmml-0.6.0,600.03,
photon_decode-0.2.1,2.16,0
photon-indexer-0.50.0,8.04,1
lmml-cli-0.6.0,600.03,
lmml-parser-0.6.0,600.03,
lmntalc-0.12.0,600.04,
lmql-0.3.0,600.04,
lms-0.4.0,600.03,
lms-signature-0.0.1,600.06,
lms_lib-0.4.0,600.05,
photonic-dynamic-runner-0.1.0,2.07,1
photon-rs-0.3.2,600.02,
photon_garden_obsidian-0.1.0,600.03,
photonic-interface-grpc-client-0.1.0,1.75,1
photondb-0.0.4,600.02,
photondb-engine-0.0.1,600.03,
photondb-tools-0.0.4,600.03,
photonic-0.1.0,600.04,
photonic-audio-0.1.0,600.04,
photonic-dynamic-0.1.0,600.02,
photonic-effects-0.1.0,600.02,
photonic-interface-cli-0.1.0,600.04,
yew-style-in-rs-core-0.4.1,1.14,0
photonic-interface-grpc-0.1.0,600.03,
photonic-interface-grpc-proto-0.1.0,600.06,
photonic-interface-mqtt-0.1.0,600.03,
photonic-interface-restore-0.1.0,600.02,
photonic-lua-0.1.0,600.02,
yew-struct-component-0.1.4,600.02,
yew-unocss-transformer-0.0.0,0.85,1
yew-struct-component-macro-0.1.4,600.11,
yew-style-0.1.4,600.02,
yew-style-in-rs-0.4.1,600.03,
yew-style-in-rs-macro-0.4.1,600.05,
yew-table-0.1.2,600.02,
yew-template-0.10.0,600.02,
yew-tincture-0.2.2,600.03,
yew-transition-group-0.0.1,600.03,
yew-ui-0.1.0,600.03,
yew-utils-0.3.0,600.02,
yew-vdom-gen-0.1.0,600.03,
yew-virtual-scroller-0.1.0,600.03,
yew-virtualized-0.2.0,600.03,
xrpl_sdk_jsonrpc-0.12.0,1.36,1
xrpl_http_client-0.16.7,1.51,1
xrpl_cli-0.16.7,1.67,1
yew-websocket-1.21.0,600.01,
xrt-0.3.0,0.91,0
xrtsp-0.3.0,1.46,1
yew-webtransport-0.21.1,600.02,
xrun-0.12.0,1.54,1
xrunits-0.1.2,0.84,0
xs-0.0.0,0.91,1
xs-api-0.1.0,0.97,0
xs-channel-0.3.7,2.16,1
yew_assets-0.1.2,600.02,
yew_audio-0.1.2,600.02,
xs233-sys-0.2.0,0.89,0
xrpl_api-0.16.7,600.03,
upstream-module-0.2.0,2.18,1
upstream-ontologist-0.2.2,2.10,1
upsun-0.1.0,1.01,0
xrpl_binary_codec-0.16.7,600.04,
upt-please-0.0.0,1.45,1
xrpl_sdk_ws-0.12.0,600.05,
xrpl_types-0.16.7,600.04,
xrpl_ws_client-0.16.7,600.04,
xrs-0.0.1,600.08,
uptic-0.1.0,0.90,0
uptime_kuma_client-0.1.10,1.69,1
xrust-1.2.4,600.03,
xs-lib-0.4.0,600.03,
xs233-0.3.0,600.04,
uption-0.6.6,1.57,1
upto-0.1.5,0.88,0
upstream-0.1.0,600.04,
upt-0.9.0,600.05,
uptu_libs-0.1.0,1.50,0
sc-service-test-0.0.0,1.02,0
sc-simnode-16.0.0,5.12,1
sc-state-db-0.37.0,1.79,1
sc-statement-store-20.0.0,2.78,1
sc-storage-monitor-0.23.0,1.89,1
sc-sync-state-rpc-0.48.0,4.30,1
