name,real_label,typo_label
syn,SAFE,SAFE
bitflags,SAFE,SAFE
hashbrown,SAFE,CRITICAL
proc-macro2,SAFE,CRITICAL
quote,SAFE,HIGH_SEVERITY
libc,LOW_SEVERITY,CRITICAL
base64,SAFE,CRITICAL
regex-syntax,SAFE,CRITICAL
serde,SAFE,CRITICAL
cfg-if,SAFE,SAFE
rand_core,LOW_SEVERITY,CRITICAL
rand,LOW_SEVERITY,CRITICAL
indexmap,SAFE,CRITICAL
serde_derive,SAFE,CRITICAL
autocfg,SAFE,CRITICAL
itoa,SAFE,HIGH_SEVERITY
getrandom,LOW_SEVERITY,CRITICAL
memchr,SAFE,SAFE
serde_json,SAFE,CRITICAL
itertools,SAFE,CRITICAL
log,SAFE,CRITICAL
once_cell,SAFE,CRITICAL
regex,SAFE,CRITICAL
aho-corasick,SAFE,CRITICAL
rand_chacha,SAFE,SAFE
ryu,SAFE,CRITICAL
cc,LOW_SEVERITY,CRITICAL
parking_lot_core,SAFE,CRITICAL
heck,SAFE,SAFE
unicode-ident,SAFE,CRITICAL
clap,SAFE,SAFE
smallvec,SAFE,CRITICAL
regex-automata,SAFE,CRITICAL
lazy_static,SAFE,CRITICAL
parking_lot,SAFE,CRITICAL
strsim,SAFE,SAFE
thiserror-impl,SAFE,CRITICAL
thiserror,SAFE,SAFE
num-traits,SAFE,CRITICAL
time,LOW_SEVERITY,CRITICAL
semver,SAFE,CRITICAL
version_check,LOW_SEVERITY,CRITICAL
either,SAFE,CRITICAL
idna,SAFE,CRITICAL
lock_api,SAFE,CRITICAL
scopeguard,SAFE,CRITICAL
digest,SAFE,SAFE
bytes,SAFE,CRITICAL
socket2,LOW_SEVERITY,CRITICAL
block-buffer,SAFE,CRITICAL
crossbeam-utils,SAFE,CRITICAL
pin-project-lite,LOW_SEVERITY,CRITICAL
memoffset,SAFE,SAFE
anyhow,SAFE,CRITICAL
mio,LOW_SEVERITY,CRITICAL
miniz_oxide,SAFE,SAFE
ppv-lite86,SAFE,CRITICAL
percent-encoding,SAFE,CRITICAL
byteorder,SAFE,CRITICAL
tokio,LOW_SEVERITY,CRITICAL
url,SAFE,CRITICAL
generic-array,LOW_SEVERITY,CRITICAL
rustix,LOW_SEVERITY,CRITICAL
toml,SAFE,SAFE
fastrand,SAFE,HIGH_SEVERITY
http,LOW_SEVERITY,CRITICAL
slab,LOW_SEVERITY,CRITICAL
hyper,LOW_SEVERITY,CRITICAL
ahash,SAFE,SAFE
num_cpus,SAFE,CRITICAL
futures-core,SAFE,CRITICAL
windows-sys,LOW_SEVERITY,CRITICAL
futures-util,SAFE,CRITICAL
futures-task,SAFE,CRITICAL
sha2,SAFE,CRITICAL
chrono,LOW_SEVERITY,CRITICAL
unicode-normalization,LOW_SEVERITY,CRITICAL
futures-sink,SAFE,SAFE
windows_x86_64_msvc,SAFE,SAFE
fnv,SAFE,SAFE
futures-channel,SAFE,CRITICAL
linux-raw-sys,LOW_SEVERITY,CRITICAL
typenum,SAFE,SAFE
spin,SAFE,CRITICAL
tracing,LOW_SEVERITY,CRITICAL
tracing-core,LOW_SEVERITY,CRITICAL
num-integer,SAFE,SAFE
futures,SAFE,SAFE
unicode-xid,SAFE,SAFE
tinyvec,SAFE,SAFE
tokio-util,LOW_SEVERITY,CRITICAL
rustls,LOW_SEVERITY,CRITICAL
pkg-config,LOW_SEVERITY,CRITICAL
tempfile,LOW_SEVERITY,CRITICAL
futures-io,SAFE,SAFE
rustc_version,SAFE,CRITICAL
unicode-bidi,SAFE,CRITICAL
pin-utils,SAFE,SAFE
windows_x86_64_gnu,SAFE,SAFE
uuid,LOW_SEVERITY,CRITICAL
