Crate Name,Severity Label
multihash-0.11.2,LOW_SEVERITY
compact_arena-0.3.2,HIGH_SEVERITY
os_socketaddr-0.2.1,MEDIUM_SEVERITY
generic-array-0.13.2,LOW_SEVERITY
routing-0.37.1,UNKNOWN
shamir-1.0.2,HIGH_SEVERITY
cosmos_sdk-0.99.0,SAFE
claim-0.5.0,SAFE
gix-index-0.32.1,LOW_SEVERITY
rand_core-0.6.1,SAFE
parity-wasm-0.45.0,LOW_SEVERITY
chrono-0.4.19,LOW_SEVERITY
libpulse-binding-2.5.0,LOW_SEVERITY
molecule-0.7.1,LOW_SEVERITY
ouroboros-0.15.6,LOW_SEVERITY
compu-brotli-sys-0.1.3,HIGH_SEVERITY
nb-connect-1.0.2,LOW_SEVERITY
websocket-0.26.4,LOW_SEVERITY
tui-0.19.0,LOW_SEVERITY
bitvec-0.17.3,LOW_SEVERITY
actix-http-2.2.2,UNKNOWN
safemem-0.3.3,SAFE
arrayfire-3.5.0,LOW_SEVERITY
aliyun-oss-client-0.8.0,UNKNOWN
security-framework-0.1.11,LOW_SEVERITY
webpki-0.22.1,LOW_SEVERITY
gtk-sys-0.18.2,LOW_SEVERITY
libp2p-core-0.31.0,UNKNOWN
gdkwayland-sys-0.18.2,LOW_SEVERITY
sodiumoxide-0.2.4,LOW_SEVERITY
crossbeam-channel-0.4.3,LOW_SEVERITY
miscreant-0.99.0,SAFE
gdkx11-sys-0.18.2,LOW_SEVERITY
zip_next-1.1.1,MEDIUM_SEVERITY
string-interner-0.7.0,LOW_SEVERITY
prettytable-rs-0.9.0,LOW_SEVERITY
calamine-0.16.2,LOW_SEVERITY
ftp-3.0.1,MEDIUM_SEVERITY
warp-0.3.2,LOW_SEVERITY
multiqueue-0.3.2,HIGH_SEVERITY
secp256k1-0.24.1,LOW_SEVERITY
lexical-core-0.8.5,SAFE
pancurses-0.17.0,UNKNOWN
wasmtime-2.0.1,UNKNOWN
office-0.8.2,LOW_SEVERITY
streebog-0.7.0,LOW_SEVERITY
linea-0.9.3,HIGH_SEVERITY
adtensor-0.0.3,CRITICAL
pprof-0.13.0,LOW_SEVERITY
fake_clock-0.3.1,SAFE
encoding-0.2.33,LOW_SEVERITY
twoway-0.2.2,LOW_SEVERITY
once_cell-1.0.0,LOW_SEVERITY
lz4-sys-1.9.3,LOW_SEVERITY
juniper-0.15.9,LOW_SEVERITY
cache-0.2.0,HIGH_SEVERITY
term-1.2.0,LOW_SEVERITY
quic-p2p-0.7.1,UNKNOWN
gfwx-0.2.0,CRITICAL
alg_ds-0.3.1,HIGH_SEVERITY
quickersort-3.0.1,MEDIUM_SEVERITY
zeroize_derive-1.1.0,LOW_SEVERITY
unicycle-0.7.0,MEDIUM_SEVERITY
gtk-0.18.2,LOW_SEVERITY
stream-cipher-0.99.99,SAFE
conrod-0.62.1,SAFE
gix-path-0.10.10,LOW_SEVERITY
kekbit-0.3.3,HIGH_SEVERITY
aes-ctr-0.99.99,SAFE
thread_local-1.1.3,LOW_SEVERITY
disrustor-0.4.0,CRITICAL
mio-0.8.10,LOW_SEVERITY
rustsec-example-crate-0.0.1,SAFE
git2-0.15.0,LOW_SEVERITY
heapless-0.6.0,LOW_SEVERITY
array-tools-0.3.1,HIGH_SEVERITY
rocksdb-0.18.0,LOW_SEVERITY
serial-0.4.0,MEDIUM_SEVERITY
cargo-0.92.0,UNKNOWN
bzip2-0.4.3,LOW_SEVERITY
atk-sys-0.18.2,LOW_SEVERITY
cosmwasm-std-2.0.1,UNKNOWN
instant-0.1.13,SAFE
glsl-layout-0.3.2,UNKNOWN
gix-ref-0.43.0,LOW_SEVERITY
rsa-export-0.3.3,MEDIUM_SEVERITY
rgb-0.8.18,LOW_SEVERITY
memoffset-0.6.1,SAFE
rusb-0.6.5,LOW_SEVERITY
rustls-0.23.17,LOW_SEVERITY
aes-soft-0.99.99,SAFE
vmm-sys-util-0.11.2,LOW_SEVERITY
mz-avro-0.6.5,LOW_SEVERITY
rio-0.9.4,LOW_SEVERITY
ammonia-3.1.2,LOW_SEVERITY
byte_struct-0.6.0,HIGH_SEVERITY
fil-ocl-0.19.6,MEDIUM_SEVERITY
actix-codec-0.2.0,LOW_SEVERITY
out-reference-0.1.1,CRITICAL
cassandra-cpp-2.0.1,MEDIUM_SEVERITY
lazy-init-0.3.0,MEDIUM_SEVERITY
ordered-float-2.0.0,LOW_SEVERITY
rusqlite-0.26.1,LOW_SEVERITY
raw-cpuid-9.1.0,LOW_SEVERITY
svix-1.16.0,UNKNOWN
arrow2-0.9.2,UNKNOWN
scratchpad-1.3.0,HIGH_SEVERITY
arc-swap-1.0.0,LOW_SEVERITY
libp2p-deflate-0.27.0,LOW_SEVERITY
clipboard-0.5.0,MEDIUM_SEVERITY
abox-0.4.0,CRITICAL
orion-0.11.1,LOW_SEVERITY
cell-project-0.1.3,HIGH_SEVERITY
strason-0.5.0,SAFE
appendix-2.0.0,HIGH_SEVERITY
spirv_headers-1.5.1,LOW_SEVERITY
reffers-0.6.0,HIGH_SEVERITY
crypto2-0.1.2,HIGH_SEVERITY
libp2p-0.45.0,UNKNOWN
buttplug-1.0.3,UNKNOWN
ferris-says-0.2.1,MEDIUM_SEVERITY
age-0.11.0,UNKNOWN
bam-0.1.2,MEDIUM_SEVERITY
dotenv-0.15.0,LOW_SEVERITY
pqcrypto-dilithium-0.5.0,HIGH_SEVERITY
lru-0.7.0,LOW_SEVERITY
cocoon-0.3.3,MEDIUM_SEVERITY
bronzedb-protocol-0.1.0,CRITICAL
fake-static-0.1.0,SAFE
late-static-0.3.0,HIGH_SEVERITY
autorand-0.2.2,MEDIUM_SEVERITY
ntru-0.5.6,HIGH_SEVERITY
wee_alloc-0.4.5,LOW_SEVERITY
crossbeam-utils-0.8.6,LOW_SEVERITY
fast-float-0.2.0,LOW_SEVERITY
postscript-0.13.2,MEDIUM_SEVERITY
xous-0.9.50,SAFE
tokio-proto-0.1.1,MEDIUM_SEVERITY
pleaser-0.5.6,HIGH_SEVERITY
sized-chunks-0.6.2,LOW_SEVERITY
actix-utils-1.0.6,LOW_SEVERITY
marc-1.5.0,HIGH_SEVERITY
dbn-0.21.0,MEDIUM_SEVERITY
chan-0.1.23,MEDIUM_SEVERITY
http-0.1.19,LOW_SEVERITY
libafl-0.11.1,LOW_SEVERITY
ftd2xx-embedded-hal-0.9.1,HIGH_SEVERITY
nano-id-0.3.3,HIGH_SEVERITY
inventory-0.1.11,SAFE
whoami-1.4.1,LOW_SEVERITY
quinn-0.6.2,UNKNOWN
libsqlite3-sys-0.25.0,LOW_SEVERITY
versionize-0.1.9,MEDIUM_SEVERITY
conduit-hyper-0.4.1,HIGH_SEVERITY
model-0.1.2,MEDIUM_SEVERITY
zerocopy-0.7.30,LOW_SEVERITY
arr-0.6.1,HIGH_SEVERITY
conqueue-0.3.0,MEDIUM_SEVERITY
metrics-util-0.6.2,LOW_SEVERITY
base64-0.5.1,LOW_SEVERITY
serde_yaml-0.8.3,SAFE
shlex-1.2.1,LOW_SEVERITY
lucet-runtime-internals-0.5.0,UNKNOWN
truetype-0.30.0,MEDIUM_SEVERITY
concread-0.2.5,MEDIUM_SEVERITY
xsalsa20poly1305-0.9.1,LOW_SEVERITY
users-0.11.0,LOW_SEVERITY
renderdoc-0.4.0,MEDIUM_SEVERITY
resolve-0.2.0,MEDIUM_SEVERITY
ticketed_lock-0.2.0,HIGH_SEVERITY
mach-0.3.2,LOW_SEVERITY
gfx-auxil-0.10.0,UNKNOWN
libsecp256k1-rs-0.2.4,CRITICAL
branca-0.9.2,UNKNOWN
algorithmica-0.1.10,HIGH_SEVERITY
socket2-0.3.15,LOW_SEVERITY
gtk-layer-shell-0.8.2,MEDIUM_SEVERITY
fyrox-core-0.36.2,UNKNOWN
generational-arena-0.2.9,SAFE
basic_dsp_matrix-0.9.1,HIGH_SEVERITY
rosenpass-0.2.0,LOW_SEVERITY
linked_list_allocator-0.10.1,LOW_SEVERITY
glib-0.19.9,LOW_SEVERITY
zlib-rs-0.3.1,MEDIUM_SEVERITY
miow-0.3.5,LOW_SEVERITY
brotli-sys-0.3.2,SAFE
cookie-0.7.5,LOW_SEVERITY
asn1_der-0.6.1,LOW_SEVERITY
lexical-6.1.1,SAFE
libsecp256k1-0.3.5,LOW_SEVERITY
atom-0.3.5,LOW_SEVERITY
bcder-0.7.2,LOW_SEVERITY
ws-0.9.2,UNKNOWN
get-size-0.1.4,LOW_SEVERITY
backoff-0.4.0,LOW_SEVERITY
alpm-rs-0.1.24,HIGH_SEVERITY
yaml-rust-0.4.0,LOW_SEVERITY
rustls-webpki-0.101.3,UNKNOWN
pnet-0.27.1,LOW_SEVERITY
hpack-0.3.0,SAFE
spin-0.9.7,LOW_SEVERITY
paillier-zk-0.3.0,HIGH_SEVERITY
ozone-0.1.0,CRITICAL
mopa-0.2.2,SAFE
remove_dir_all-0.7.0,LOW_SEVERITY
safe_vault-0.20.2,UNKNOWN
tiny_http-0.7.0,LOW_SEVERITY
gdk-sys-0.18.2,LOW_SEVERITY
tauri-1.1.1,UNKNOWN
stack-0.3.0,HIGH_SEVERITY
futures-util-0.3.6,LOW_SEVERITY
atomic-option-0.1.2,MEDIUM_SEVERITY
ruspiro-singleton-0.4.0,HIGH_SEVERITY
buffoon-0.5.0,SAFE
gix-attributes-0.22.2,SAFE
dces-0.3.1,HIGH_SEVERITY
quinn-proto-0.11.6,LOW_SEVERITY
cggmp21-keygen-0.1.0,HIGH_SEVERITY
bigint-4.4.3,LOW_SEVERITY
bcc-0.0.34,MEDIUM_SEVERITY
time-0.2.22,LOW_SEVERITY
interledger-packet-0.4.0,MEDIUM_SEVERITY
stackvector-1.0.8,MEDIUM_SEVERITY
