crate_name,rustsec_label,advisory_type
humantime,Uncategorized,INFOUnmaintained
protobuf,Uncategorized,Vulnerability
ring,Uncategorized,Vulnerability
openh264-sys2,Uncategorized,Vulnerability
ring,Uncategorized,INFOUnmaintained
hickory-proto,Uncategorized,Vulnerability
grcov,Uncategorized,Vulnerability
openssl,Uncategorized,Vulnerability
fast-float,Uncategorized,Vulnerability
fast-float2,Uncategorized,Vulnerability
rage,Uncategorized,Vulnerability
age,Uncategorized,Vulnerability
magic-crypt,Uncategorized,Vulnerability
idna,Uncategorized,Vulnerability
pyo3,Uncategorized,Vulnerability
rustyscript,Uncategorized,Vulnerability
js-sandbox,Uncategorized,Vulnerability
hashbrown,Uncategorized,Vulnerability
ruzstd,Uncategorized,Vulnerability
rustls,Uncategorized,Vulnerability
sharks,Uncategorized,Vulnerability
paillier-zk,Uncategorized,Vulnerability
cggmp21,Uncategorized,Vulnerability
cggmp21-keygen,Uncategorized,Vulnerability
pyo3,Uncategorized,Vulnerability
dbn,Uncategorized,Vulnerability
tonic,Uncategorized,Vulnerability
ouch,Uncategorized,Vulnerability
olm-sys,Uncategorized,Vulnerability
cosmwasm-vm,Uncategorized,Vulnerability
diesel,Uncategorized,Vulnerability
sqlx,Uncategorized,Vulnerability
alloy-json-abi,Uncategorized,Vulnerability
cosmwasm-vm,Uncategorized,Vulnerability
openssl,Uncategorized,Vulnerability
matrix-sdk-crypto,Uncategorized,Vulnerability
vodozemac,Uncategorized,Vulnerability
zerovec-derive,Uncategorized,Vulnerability
zerovec,Uncategorized,Vulnerability
sequoia-openpgp,Uncategorized,Vulnerability
curve25519-dalek,Uncategorized,Vulnerability
vodozemac,Uncategorized,Vulnerability
tor-circmgr,Uncategorized,Vulnerability
tor-circmgr,Uncategorized,Vulnerability
cosmwasm-std,Uncategorized,Vulnerability
gix-transport,Uncategorized,Vulnerability
h2,Uncategorized,Vulnerability
hpack,Uncategorized,Vulnerability
eyre,Uncategorized,Vulnerability
whoami,Uncategorized,Vulnerability
