id,name,version
syn,syn,2.0.100
bitflags,bitflags,2.9.0
hashbrown,hashbrown,0.15.2
proc-macro2,proc-macro2,1.0.94
quote,quote,1.0.40
libc,libc,0.2.171
base64,base64,0.22.1
regex-syntax,regex-syntax,0.8.5
serde,serde,1.0.219
cfg-if,cfg-if,1.0.0
rand_core,rand_core,0.9.3
rand,rand,0.9.0
indexmap,indexmap,2.8.0
serde_derive,serde_derive,1.0.219
autocfg,autocfg,1.4.0
itoa,itoa,1.0.15
getrandom,getrandom,0.3.2
memchr,memchr,2.7.4
serde_json,serde_json,1.0.140
itertools,itertools,0.14.0
log,log,0.4.26
once_cell,once_cell,1.21.1
regex,regex,1.11.1
aho-corasick,aho-corasick,1.1.3
rand_chacha,rand_chacha,0.9.0
ryu,ryu,1.0.20
cc,cc,1.2.16
parking_lot_core,parking_lot_core,0.9.10
heck,heck,0.5.0
unicode-ident,unicode-ident,1.0.18
clap,clap,4.5.32
smallvec,smallvec,1.14.0
regex-automata,regex-automata,0.4.9
lazy_static,lazy_static,1.5.0
parking_lot,parking_lot,0.12.3
strsim,strsim,0.11.1
thiserror-impl,thiserror-impl,2.0.12
thiserror,thiserror,2.0.12
num-traits,num-traits,0.2.19
time,time,0.3.40
semver,semver,1.0.26
version_check,version_check,0.9.5
either,either,1.15.0
idna,idna,1.0.3
lock_api,lock_api,0.4.12
scopeguard,scopeguard,1.2.0
digest,digest,0.10.7
bytes,bytes,1.10.1
socket2,socket2,0.5.8
block-buffer,block-buffer,0.10.4
crossbeam-utils,crossbeam-utils,0.8.21
pin-project-lite,pin-project-lite,0.2.16
memoffset,memoffset,0.9.1
anyhow,anyhow,1.0.97
mio,mio,1.0.3
miniz_oxide,miniz_oxide,0.8.5
ppv-lite86,ppv-lite86,0.2.21
percent-encoding,percent-encoding,2.3.1
byteorder,byteorder,1.5.0
tokio,tokio,1.44.1
url,url,2.5.4
generic-array,generic-array,1.2.0
rustix,rustix,1.0.3
toml,toml,0.8.20
fastrand,fastrand,2.3.0
http,http,1.3.1
slab,slab,0.4.9
hyper,hyper,1.6.0
ahash,ahash,0.8.11
num_cpus,num_cpus,1.16.0
futures-core,futures-core,0.3.31
windows-sys,windows-sys,0.59.0
futures-util,futures-util,0.3.31
futures-task,futures-task,0.3.31
sha2,sha2,0.10.8
chrono,chrono,0.4.40
unicode-normalization,unicode-normalization,0.1.24
futures-sink,futures-sink,0.3.31
windows_x86_64_msvc,windows_x86_64_msvc,0.53.0
fnv,fnv,1.0.7
futures-channel,futures-channel,0.3.31
linux-raw-sys,linux-raw-sys,0.9.3
typenum,typenum,1.18.0
spin,spin,0.9.8
tracing,tracing,0.1.41
tracing-core,tracing-core,0.1.33
num-integer,num-integer,0.1.46
futures,futures,0.3.31
unicode-xid,unicode-xid,0.2.6
tinyvec,tinyvec,1.9.0
tokio-util,tokio-util,0.7.14
rustls,rustls,0.23.25
pkg-config,pkg-config,0.3.32
tempfile,tempfile,3.19.1
futures-io,futures-io,0.3.31
rustc_version,rustc_version,0.4.1
unicode-bidi,unicode-bidi,0.3.18
pin-utils,pin-utils,0.1.0
windows_x86_64_gnu,windows_x86_64_gnu,0.53.0
uuid,uuid,1.16.0
